cache_key,postal_guess,country,coords,lat,lon,input_city,resolved_city,display_name,query_used,validated,low_confidence,timestamp,status,city_similarity,coords_cluster_count,flag_city_mismatch,flag_clustered_coords,flag_low_confidence,flag_not_validated,flag_failed,suspect_score
41016_es,41016,es,"37.3908727,-5.9275849",37.3908727,-5.9275849,SEVILLA,Sevilla,"41016, Distrito Este-Alcosa-Torreblanca, Sevilla, Andalucía, España","structured: {'postalcode': '41016', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:52.130095,OK,1.0,1,False,False,False,False,False,0
41092_es,41092,es,"37.4008164,-6.0075323",37.4008164,-6.0075323,SEVILLA,Sevilla,"41092, Triana, Sevilla, Andalucía, España","structured: {'postalcode': '41092', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:53.109188,OK,1.0,1,False,False,False,False,False,0
41309_es,41309,es,"37.4699116,-5.9371538",37.4699116,-5.9371538,LA RINCONADA,La Rinconada,"41309, La Rinconada, Sevilla, Andalucía, España","structured: {'postalcode': '41309', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:54.099462,OK,1.0,1,False,False,False,False,False,0
41440_es,41440,es,"37.656556,-5.5201369",37.656556,-5.5201369,LORA DEL RIO,Lora del Río,"41440, Lora del Río, Sevilla, Andalucía, España","structured: {'postalcode': '41440', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:55.103067,OK,1.0,1,False,False,False,False,False,0
41700_es,41700,es,"37.262219,-5.8990709",37.262219,-5.8990709,DOS HERMANAS,Dos Hermanas,"41700, Dos Hermanas, Sevilla, Andalucía, España","structured: {'postalcode': '41700', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:58.113273,OK,1.0,1,False,False,False,False,False,0
41704_es,41704,es,"37.2966852,-5.929912",37.2966852,-5.929912,DOS HERMANAS,Dos Hermanas,"41704, Dos Hermanas, Sevilla, Andalucía, España","structured: {'postalcode': '41704', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:59.101468,OK,1.0,1,False,False,False,False,False,0
41910_es,41910,es,"37.3849362,-6.037125",37.3849362,-6.037125,CAMAS,Camas,"41910, Camas, Sevilla, Andalucía, España","structured: {'postalcode': '41910', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:00.105263,OK,1.0,1,False,False,False,False,False,0
42100_es,42100,es,"41.8412484,-1.9347061",41.8412484,-1.9347061,AGREDA,Ágreda,"42100, Ágreda, Soria, Castilla y León, España","structured: {'postalcode': '42100', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:14.097786,OK,1.0,1,False,False,False,False,False,0
43001_es,43001,es,"41.1153296,1.2488661",41.1153296,1.2488661,TARRAGONA,Tarragona,"43001, Tarragona, Tarragonès, Tarragona, Catalunya, España","structured: {'postalcode': '43001', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:15.107805,OK,1.0,1,False,False,False,False,False,0
43006_es,43006,es,"41.1204473,1.2154819",41.1204473,1.2154819,TARRAGONA,Tarragona,"43006, Tarragona, Tarragonès, Tarragona, Catalunya, España","structured: {'postalcode': '43006', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:16.120255,OK,1.0,1,False,False,False,False,False,0
43007_es,43007,es,"41.1317813,1.2675245",41.1317813,1.2675245,TARRAGONA,Tarragona,"43007, Tarragona, Tarragonès, Tarragona, Catalunya, España","structured: {'postalcode': '43007', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:17.117677,OK,1.0,1,False,False,False,False,False,0
43110_es,43110,es,"41.1245622,1.1777799",41.1245622,1.1777799,LA CANONJA,la Canonja,"43110, la Canonja, Tarragonès, Tarragona, Catalunya, España","structured: {'postalcode': '43110', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:21.119529,OK,1.0,1,False,False,False,False,False,0
43120_es,43120,es,"41.1549338,1.1876976",41.1549338,1.1876976,CONSTANTI,Constantí,"43120, Constantí, Tarragonès, Tarragona, Catalunya, España","structured: {'postalcode': '43120', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:22.166903,OK,1.0,1,False,False,False,False,False,0
43201_es,43201,es,"41.1553789,1.1108061",41.1553789,1.1108061,REUS,Reus,"43201, Reus, Baix Camp, Tarragona, Catalunya, España","structured: {'postalcode': '43201', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:24.156651,OK,1.0,1,False,False,False,False,False,0
43204_es,43204,es,"41.1526781,1.1168309",41.1526781,1.1168309,REUS,Reus,"43204, Reus, Baix Camp, Tarragona, Catalunya, España","structured: {'postalcode': '43204', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:25.147725,OK,1.0,1,False,False,False,False,False,0
43206_es,43206,es,"41.1572609,1.096757",41.1572609,1.096757,REUS,Reus,"43206, Reus, Baix Camp, Tarragona, Catalunya, España","structured: {'postalcode': '43206', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:26.147606,OK,1.0,1,False,False,False,False,False,0
43460_es,43460,es,"41.2627327,1.1641333",41.2627327,1.1641333,ALCOVER,Alcover,"43460, Alcover, Alt Camp, Tarragona, Catalunya, España","structured: {'postalcode': '43460', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:27.223374,OK,1.0,1,False,False,False,False,False,0
43500_es,43500,es,"40.8127292,0.5219061",40.8127292,0.5219061,TORTOSA,Tortosa,"43500, Tortosa, Baix Ebre, Tarragona, Catalunya, España","structured: {'postalcode': '43500', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:28.164059,OK,1.0,1,False,False,False,False,False,0
43711_es,43711,es,"41.2791699,1.5818025",41.2791699,1.5818025,BANYERES DEL PENEDES,Banyeres del Penedès,"43711, Banyeres del Penedès, Baix Penedès, Tarragona, Catalunya, España","structured: {'postalcode': '43711', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:30.165872,OK,1.0,1,False,False,False,False,False,0
43800_es,43800,es,"41.2973634,1.2422653",41.2973634,1.2422653,VALLS,Valls,"43800, Valls, Alt Camp, Tarragona, Catalunya, España","structured: {'postalcode': '43800', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:31.162935,OK,1.0,1,False,False,False,False,False,0
43896_es,43896,es,"40.7465461,0.6181148",40.7465461,0.6181148,L'Aldea,l'Aldea,"43896, l'Aldea, Baix Ebre, Tarragona, Catalunya, España","structured: {'postalcode': '43896', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:32.149894,OK,1.0,1,False,False,False,False,False,0
